product_id,old_product_name,new_product_name
AHMEDABAD_AMUL_BEVERAGES,Amul Beverages (Ahmedabad),Amul Tru Mango 200ml
AHMEDABAD_AMUL_DAIRY,Amul Dairy (Ahmedabad),Amul Ghee 1L
AHMEDABAD_AMUL_FRUITS,Amul Fruits (Ahmedabad),Real Orange Juice 1L
AHMEDABAD_AMUL_GROCERY,Amul Grocery (Ahmedabad),Tata Sampann Besan 500g
AHMEDABAD_AMUL_HOME_CARE,Amul Home Care (Ahmedabad),Rin Detergent Powder 1kg
AHMEDABAD_AMUL_PERSONAL_CARE,Amul Personal Care (Ahmedabad),Pond's White Beauty Face Wash 100g
AHMEDABAD_AMUL_SNACKS,Amul Snacks (Ahmedabad),Kurkure Puffcorn Yummy Cheese 55g
AHMEDABAD_AMUL_VEGETABLES,Amul Vegetables (Ahmedabad),Fresho Tomato 1kg
AHMEDABAD_BRITANNIA_BEVERAGES,Britannia Beverages (Ahmedabad),Pepsi Cola Soft Drink 750ml
AHMEDABAD_BRITANNIA_DAIRY,Britannia Dairy (Ahmedabad),Britannia Roasted Makhana 50g
AHMEDABAD_BRITANNIA_FRUITS,Britannia Fruits (Ahmedabad),Real Litchi Juice 1L
AHMEDABAD_BRITANNIA_GROCERY,Britannia Grocery (Ahmedabad),Tata Salt Iodised Salt 1kg
AHMEDABAD_BRITANNIA_HOME_CARE,Britannia Home Care (Ahmedabad),Surf Excel Matic Front Load 1kg
AHMEDABAD_BRITANNIA_PERSONAL_CARE,Britannia Personal Care (Ahmedabad),Lifebuoy Total 10 Soap 100g
AHMEDABAD_BRITANNIA_SNACKS,Britannia Snacks (Ahmedabad),Britannia 50-50 Maska Chaska 120g
AHMEDABAD_BRITANNIA_VEGETABLES,Britannia Vegetables (Ahmedabad),Fresho Cauliflower 1pc
AHMEDABAD_HUL_BEVERAGES,HUL Beverages (Ahmedabad),Slice Mango Drink 600ml
AHMEDABAD_HUL_DAIRY,HUL Dairy (Ahmedabad),Amul Masti Dahi 400g
AHMEDABAD_HUL_FRUITS,HUL Fruits (Ahmedabad),Real Apple Juice 1L
AHMEDABAD_HUL_GROCERY,HUL Grocery (Ahmedabad),Tata Sampann Moong Dal 1kg
AHMEDABAD_HUL_HOME_CARE,HUL Home Care (Ahmedabad),Vim Dishwash Liquid 500ml
AHMEDABAD_HUL_PERSONAL_CARE,HUL Personal Care (Ahmedabad),Dove Cream Beauty Bathing Bar 100g
AHMEDABAD_HUL_SNACKS,HUL Snacks (Ahmedabad),Lay's American Style Cream & Onion 50g
AHMEDABAD_HUL_VEGETABLES,HUL Vegetables (Ahmedabad),Fresho Lady Finger 500g
AHMEDABAD_ITC_BEVERAGES,ITC Beverages (Ahmedabad),B Natural Mango 1L
AHMEDABAD_ITC_DAIRY,ITC Dairy (Ahmedabad),Amul Taaza Toned Milk 1L
AHMEDABAD_ITC_FRUITS,ITC Fruits (Ahmedabad),Real Pomegranate Juice 1L
AHMEDABAD_ITC_GROCERY,ITC Grocery (Ahmedabad),Sunfeast Yippee Noodles 280g
AHMEDABAD_ITC_HOME_CARE,ITC Home Care (Ahmedabad),Vim Dishwash Bar 200g
AHMEDABAD_ITC_PERSONAL_CARE,ITC Personal Care (Ahmedabad),Fiama Di Wills Shower Gel 250ml
AHMEDABAD_ITC_SNACKS,ITC Snacks (Ahmedabad),Sunfeast Mom's Magic Cashew & Almond 200g
